id,name
1643,Indonesia-Mobile
1644,Indonesia-Mobile Excelcom
1645,Indonesia-Mobile Indosat
1646,Indonesia-Mobile Satellite
1647,Indonesia-Mobile Telkomsel
1648,Iran
1649,Iran-Fixed Tehran
1650,Iran-Mobile MTN
1651,Iran-Mobile Others
1652,Iraq
1653,Iraq-Fixed Baghdad
1654,Iraq-Mobile AsiaCell
1655,Iraq-Mobile Atheer
1656,Iraq-Mobile Korek
1657,Iraq-Mobile Others
1658,Iraq-Mobile Sana
1659,Iraq-OLO
1660,Iraq-Special Services
1661,Ireland
1662,Ireland-Fixed Dublin
1663,Ireland-Mobile H3G
1664,Ireland-Mobile Meteor
1665,Ireland-Mobile O2
1666,Ireland-Mobile Others
1667,Ireland-Mobile Tesco
1668,Ireland-Mobile Vodafone
1669,Ireland-Paging Services
1670,Ireland-Special Services
1671,Israel
1672,Israel Palestine
1673,Israel Palestine-Mobile
1674,Israel-Mobile Cellcom
1675,Israel-Mobile Others
1676,Israel-Mobile Partner
1677,Italy
1678,Italy-Emergency Call
1679,Italy-Mobile Elsacom
1680,Italy-Mobile H3G
2371,Italy-Mobile H3G MNP
1681,Italy-Mobile Intermatica
1682,Italy-Mobile Others
1683,Italy-Mobile RFI
1684,Italy-Mobile TIM
2372,Italy-Mobile TIM MNP
1685,Italy-Mobile Vodafone
2373,Italy-Mobile Vodafone MNP
1686,Italy-Mobile Wind
2374,Italy-Mobile Wind MNP
1687,Italy-Special Services
1688,Italy-Toll Free Number
1689,Ivory Coast
2378,Ivory Coast-Fixed MTN
1690,Ivory Coast-Mobile Comium
1691,Ivory Coast-Mobile MOOV
1692,Ivory Coast-Mobile MTN
1693,Ivory Coast-Mobile Orange
1694,Ivory Coast-Mobile Oricel
1695,Ivory Coast-Mobile Others
1696,Ivory Coast-Special Services
1697,Jamaica
1698,Jamaica-Mobile C&W
1699,Jamaica-Mobile Centennial
1700,Jamaica-Mobile DigiCel
1701,Jamaica-Mobile Others
1702,Japan
1703,Japan-Fixed Tokyo
1704,Japan-IP Phone
1705,Japan-Military Services
1706,Japan-Mobile
1707,Jordan
1708,Jordan-Fixed Amman
1709,Jordan-Mobile FastLink
1710,Jordan-Mobile Orange
1711,Jordan-Mobile Others
1712,Jordan-Mobile Umniah
1713,Jordan-Mobile Xpress
1714,Kazakhstan
1715,Kazakhstan-Fixed Almaty
1716,Kazakhstan-Fixed Astana
1717,Kazakhstan-Fixed Karaganda
1718,Kazakhstan-Mobile
1719,Kazakhstan-OLO
1720,Kazakhstan-Special Services
1721,Kenya
1722,Kenya-Fixed Nairobi
1723,Kenya-Mobile Econet
1724,Kenya-Mobile Orange
1725,Kenya-Mobile Others
1726,Kenya-Mobile Safaricom
1727,Kenya-Mobile Zain
1728,Kenya-Special Services
1729,Kiribati
1730,Kiribati-Mobile
1731,Kuwait
1732,Kuwait-Mobile Others
1733,Kuwait-Mobile Zain
1734,Kyrgyzstan
1735,Kyrgyzstan-Fixed Bishkek
1736,Kyrgyzstan-Mobile
1737,Laos
1738,Laos-Mobile
1739,Latvia
1740,Latvia-Fixed Riga
1741,Latvia-Mobile Baltija
1742,Latvia-Mobile Bite
1743,Latvia-Mobile LMT
1744,Latvia-Mobile Master
1745,Latvia-Mobile Others
1746,Latvia-Mobile Tele2
1747,Latvia-Mobility Services
1748,Latvia-OLO
1749,Latvia-Special Services
1750,Lebanon
1751,Lebanon-Mobile
1752,Lesotho
1753,Lesotho-Mobile Econet
1754,Lesotho-Mobile Others
1755,Lesotho-Mobile Vodacom
1756,Liberia
1757,Liberia-Mobile Cellcom
1758,Liberia-Mobile Comium
1759,Liberia-Mobile Libercell
1760,Liberia-Mobile MTN
1761,Liberia-Mobile Others
1762,Liberia-Special Services
1763,Libya
1764,Libya-Mobile Al Hurra
1765,Libya-Mobile Others
1766,Liechtenstein
1767,Liechtenstein-Mobile
1768,Liechtenstein-Special Services
1769,Liechtenstein-Voice Mail Services
1770,Lithuania
1771,Lithuania-Mobile Bite
1772,Lithuania-Mobile Omnitel
1773,Lithuania-Mobile Others
1774,Lithuania-Mobile Tele2
1775,Lithuania-Special Services
1776,Luxembourg
1777,Luxembourg-Mobile LUX GSM
1778,Luxembourg-Mobile Others
1779,Luxembourg-Mobile Tango
1780,Luxembourg-Mobile Vox
2362,Luxembourg-Special Services
1781,Macau
1782,Macau-Mobile
1783,Macedonia
1784,Macedonia-Fixed Cosmofon
1785,Macedonia-Mobile Cosmofon
1786,Macedonia-Mobile Mobimak
1787,Macedonia-Mobile Others
2363,Macedonia-Special Services
1788,Madagascar
1789,Madagascar-Fixed Spacemob
1790,Madagascar-Mobile Mada
1791,Madagascar-Mobile Orange
1792,Madagascar-Mobile Others
1793,Madagascar-Mobile Zain
1794,Malawi
1795,Malawi-Mobile Celtel
1796,Malawi-Mobile Others
1797,Malaysia
1798,Malaysia-Fixed Kuala Lumpur
1799,Malaysia-Mobile Celcom
1800,Malaysia-Mobile Digi
1801,Malaysia-Mobile Maxis
1802,Malaysia-Mobile Others
1803,Maldives
1804,Maldives-Mobile Dhiraagu
1805,Maldives-Mobile Others
1806,Maldives-Mobile Wataniya
1807,Maldives-Special Services
1808,Mali
1809,Mali-Fixed Bamako
1810,Mali-Fixed Orange
1811,Mali-Mobile Orange
1812,Mali-Mobile Others
1813,Malta
1814,Malta-Mobile Go-Mobile
1815,Malta-Mobile Others
1816,Malta-Mobile Vodafone
1817,Mariana Islands
1818,Marshall Islands
1819,Martinique
1820,Martinique-Mobile Digicel
